,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
189,1464243652,77.22222222,24.0958724,17.16666667,750,34.20081491,402.8836278,110.8460804,FS,91.32039932,24.54,45.43,2015
240,1464543624,77.22222222,31.21024964,19.01666667,630,48.1975448,754.9446084,213.6613434,FS,63.93685176,24.55,45.43,2015
166,1488542853,77.5,21.80692551,17.3,450,16.8070416,192.1620005,54.195449,FS,100,24.85,45.36,2016
184,1522241652,78.63636364,30.56083957,21.50454545,590,43.27852542,503.5960931,139.4983703,FS,59.9720727,25.28,45.25,2014
258,1514544053,78.96551724,22.55780669,19.17241379,1120,44.76119222,490.8268723,117.493351,FS,40.95004011,25.18,45.46,2017
314,1498240052,79.54545455,31.18351785,29.42727273,280,21.38445206,332.166442,94.04598002,FS,65.69723165,24.98,45.1,2014
168,1474239221,80,32.8,32.1,20,1.68992552,27.08403391,7.638510084,FS,100,24.67,45.03,2017
211,1492240421,80,28.78996006,27.51578947,500,32.54932677,480.6654494,136.8888758,FS,73.04708084,24.9,45.14,2017
214,1466244052,80,27.82008962,24.20384615,880,53.49209446,807.0600811,220.9507487,FS,58.99146787,24.57,45.46,2017
238,1478238452,80,25.15680454,23.98,540,26.84074661,366.2261675,104.4875399,FS,49.53123573,24.72,44.96,2017
315,1490244052,80,21.13388329,19.06521739,880,30.86961143,331.513531,86.48784981,FS,77.08663425,24.87,45.46,2016
345,1466542424,80,32.3,16.7,20,1.6387961,13.2369182,3.733208039,FS,100,24.57,45.32,2015
362,1506543224,80.66666667,29.49495114,26.54,420,28.69687024,381.8289852,108.1960196,FS,51.55805232,25.08,45.39,2015
295,1472543653,80.71428571,32.66078622,19.91428571,230,19.26952403,242.7049704,64.42331318,FS,80.45666001,24.65,45.43,2014
395,1486540053,81.11111111,31.02211278,11.76666667,270,20.40780944,138.7626885,39.13524104,FS,100,24.83,45.1,2017
183,1458244052,81.53846154,34.5224503,22.33076923,470,43.99374826,738.9288425,208.4001014,FS,100,24.47,45.46,2016
225,1470239221,81.66666667,38.34124349,24.35,210,24.24608168,409.9532754,115.6241482,FS,99.57266338,24.62,45.03,2014
174,1470240821,82,29.5670636,19.29,320,21.97132513,277.1980745,78.30444012,FS,83.08109832,24.62,45.17,2014
330,1480538024,82,26.31043044,21.83,320,17.39785737,203.9453307,57.71663162,FS,58.32672708,24.75,44.92,2016
405,1496242821,82,36.52116878,29.31,260,27.23657944,467.3221592,120.4633471,FS,69.67035795,24.95,45.35,2017
367,1496242852,82.5,36.10904361,30.04166667,330,33.79370377,501.4118305,127.0339524,FS,48.94998552,24.95,45.36,2017
308,1518244021,83.15789474,32.30654811,21.97368421,590,48.36408848,588.1367723,166.1324176,FS,84.46518932,25.23,45.46,2015
342,1476537253,83.33333333,28.91859584,25.45555556,270,17.73405491,247.2595047,69.73459812,FS,100,24.7,44.85,2017
317,1488243621,83.63636364,36.83035652,22.18181818,310,33.02656611,418.4391275,113.2297763,FS,88.22636966,24.85,45.43,2014
400,1460541224,83.75,41.77359898,16.775,140,19.18764627,367.4055009,103.6670355,FS,84.69833429,24.5,45.21,2014
